event_name,location,city,date,event_link
ENGINUUM 2026,Litexpo,Vilnius,2026-06-04,https://www.litexpo.lt/en/events/enginuum-2026/
FFF!!!,Litexpo,Vilnius,2026-06-19,https://www.litexpo.lt/en/events/fff/
SA EXHIBITION. CONSTRUCTION AND ARCHITECTURE,Litexpo,Vilnius,2026-09-25,https://www.litexpo.lt/en/events/sa-exhibition-construction-and-architecture/
SA EXHIBITION. CONSTRUCTION AND ARCHITECTURE,Litexpo,Vilnius,2026-09-26,https://www.litexpo.lt/en/events/sa-exhibition-construction-and-architecture/
SA EXHIBITION. CONSTRUCTION AND ARCHITECTURE,Litexpo,Vilnius,2026-09-27,https://www.litexpo.lt/en/events/sa-exhibition-construction-and-architecture/
ArtVilnius’26,Litexpo,Vilnius,2026-10-01,https://www.litexpo.lt/en/events/artvilnius26/
ArtVilnius’26,Litexpo,Vilnius,2026-10-02,https://www.litexpo.lt/en/events/artvilnius26/
ARCHzona 2026 – Architecture and Interior Solutions Exhibition,Litexpo,Vilnius,2026-10-02,https://www.litexpo.lt/en/events/archzona-2026-architecture-and-interior-solutions-exhibition/
ArtVilnius’26,Litexpo,Vilnius,2026-10-03,https://www.litexpo.lt/en/events/artvilnius26/
ARCHzona 2026 – Architecture and Interior Solutions Exhibition,Litexpo,Vilnius,2026-10-03,https://www.litexpo.lt/en/events/archzona-2026-architecture-and-interior-solutions-exhibition/
ArtVilnius’26,Litexpo,Vilnius,2026-10-04,https://www.litexpo.lt/en/events/artvilnius26/
TASTE VILNIUS 2026,Litexpo,Vilnius,2026-10-15,https://www.litexpo.lt/en/events/taste-vilnius-horeca-2024-2/
TASTE VILNIUS 2026,Litexpo,Vilnius,2026-10-16,https://www.litexpo.lt/en/events/taste-vilnius-horeca-2024-2/
STAY HEALTHY VILNIUS 2026,Litexpo,Vilnius,2026-10-16,https://www.litexpo.lt/en/events/stay-healthy-2026/
TASTE VILNIUS 2026,Litexpo,Vilnius,2026-10-17,https://www.litexpo.lt/en/events/taste-vilnius-horeca-2024-2/
STAY HEALTHY VILNIUS 2026,Litexpo,Vilnius,2026-10-17,https://www.litexpo.lt/en/events/stay-healthy-2026/
GameOn 2026,Litexpo,Vilnius,2026-10-23,https://www.litexpo.lt/en/events/gameon-2026/
GameOn 2026,Litexpo,Vilnius,2026-10-24,https://www.litexpo.lt/en/events/gameon-2026/
GameOn 2026,Litexpo,Vilnius,2026-10-25,https://www.litexpo.lt/en/events/gameon-2026/
EROS 2026,Litexpo,Vilnius,2026-11-13,https://www.litexpo.lt/en/events/eros-2026/
EROS 2026,Litexpo,Vilnius,2026-11-14,https://www.litexpo.lt/en/events/eros-2026/
